Nationality,Debtor,Tuition fees up to date,Scholarship holder,International,Target
62,0,1,1,1,Graduate
6,1,0,0,1,Dropout
41,0,0,0,1,Graduate
41,0,1,0,1,Dropout
26,0,1,0,1,Enrolled
26,0,0,0,1,Graduate
103,0,1,1,1,Graduate
103,0,1,0,1,Dropout
13,0,1,1,1,Graduate
41,0,1,1,1,Graduate
41,0,1,0,1,Graduate
41,1,1,1,1,Graduate
41,1,0,0,1,Dropout
41,0,1,0,1,Graduate
25,0,1,0,1,Graduate
41,1,0,0,1,Dropout
21,1,1,0,1,Enrolled
6,0,1,0,1,Enrolled
6,1,1,0,1,Enrolled
41,1,0,0,1,Dropout
26,0,1,0,1,Graduate
6,0,1,0,1,Enrolled
41,0,1,1,1,Graduate
101,0,1,0,1,Graduate
11,0,1,1,1,Graduate
11,0,1,0,1,Graduate
22,1,0,0,1,Dropout
41,1,1,0,1,Dropout
22,0,1,0,1,Graduate
41,1,0,0,1,Dropout
32,1,1,0,1,Enrolled
41,0,1,1,1,Enrolled
100,0,1,0,1,Dropout
24,0,1,0,1,Graduate
26,0,0,0,1,Graduate
24,1,0,0,1,Dropout
41,0,1,0,1,Graduate
6,0,1,0,1,Dropout
41,0,1,0,1,Enrolled
26,1,1,0,1,Enrolled
6,0,1,0,1,Dropout
109,0,1,1,1,Dropout
41,0,0,0,1,Dropout
41,0,1,1,1,Dropout
26,1,1,0,1,Graduate
41,1,0,0,1,Dropout
41,0,1,0,1,Enrolled
26,1,0,0,1,Dropout
22,0,1,0,1,Dropout
26,1,0,0,1,Graduate
22,0,1,0,1,Graduate
100,1,1,0,1,Enrolled
22,0,1,0,1,Graduate
41,0,1,0,1,Graduate
2,0,1,0,1,Graduate
41,0,1,1,1,Graduate
11,0,1,0,1,Graduate
6,0,1,0,1,Enrolled
26,0,1,0,1,Enrolled
101,0,1,1,1,Dropout
6,0,1,0,1,Graduate
22,0,0,0,1,Dropout
108,0,1,0,1,Enrolled
22,0,1,0,1,Graduate
62,0,1,0,1,Enrolled
41,0,1,0,1,Enrolled
26,1,1,0,1,Graduate
22,0,1,0,1,Graduate
26,0,1,0,1,Graduate
41,0,1,1,1,Graduate
26,0,1,0,1,Graduate
41,0,1,0,1,Graduate
41,0,1,0,1,Dropout
22,0,1,0,1,Graduate
41,0,1,0,1,Graduate
24,0,1,1,1,Graduate
6,1,0,0,1,Dropout
6,0,1,0,1,Graduate
22,1,1,0,1,Dropout
105,0,1,0,1,Enrolled
6,0,1,0,1,Enrolled
41,1,0,0,1,Dropout
41,0,1,1,1,Graduate
6,0,1,0,1,Graduate
41,0,1,0,1,Graduate
21,0,1,0,1,Dropout
41,0,1,0,1,Graduate
41,1,1,0,1,Enrolled
41,0,1,0,1,Dropout
41,1,1,1,1,Graduate
14,0,1,0,1,Graduate
24,1,0,0,1,Graduate
41,0,1,0,1,Dropout
24,0,1,1,1,Graduate
41,0,1,0,1,Enrolled
25,0,1,0,1,Enrolled
2,0,1,1,1,Graduate
41,0,1,0,1,Graduate
22,1,0,1,1,Graduate
41,0,1,0,1,Dropout
26,0,1,0,1,Enrolled
6,0,1,0,1,Graduate
22,0,0,0,1,Enrolled
100,0,1,0,1,Dropout
103,0,1,0,1,Graduate
41,0,0,0,1,Graduate
26,1,1,0,1,Enrolled
17,1,0,0,1,Dropout
105,1,0,0,1,Dropout
22,0,1,0,1,Graduate
