father qualification,previous qualification,target,count
Basic education 1st cycle (4th/5th year),Secondary Education - 12th Year of Schooling,Graduate,481
Basic education 1st cycle (4th/5th year),Secondary Education - 12th Year of Schooling,Dropout,323
Basic education 1st cycle (4th/5th year),Secondary Education - 12th Year of Schooling,Enrolled,175
Basic education 1st cycle (4th/5th year),Basic Education 3rd Cycle (9th/10th/11th Year),Dropout,43
Basic education 1st cycle (4th/5th year),Basic Education 3rd Cycle (9th/10th/11th Year),Graduate,24
Basic education 1st cycle (4th/5th year),Basic Education 3rd Cycle (9th/10th/11th Year),Enrolled,6
Basic education 1st cycle (4th/5th year),Technological specialization course,Dropout,23
Basic education 1st cycle (4th/5th year),Technological specialization course,Graduate,22
Basic education 1st cycle (4th/5th year),Technological specialization course,Enrolled,8
Basic education 1st cycle (4th/5th year),Higher Education - Degree,Graduate,19
Basic education 1st cycle (4th/5th year),Higher Education - Degree,Dropout,19
Basic education 1st cycle (4th/5th year),Higher Education - Degree,Enrolled,2
Basic education 1st cycle (4th/5th year),Other,Graduate,8
Basic education 1st cycle (4th/5th year),Other,Dropout,8
Basic education 1st cycle (4th/5th year),Other,Enrolled,3
Basic Education 3rd Cycle (9th/10th/11th Year),Secondary Education - 12th Year of Schooling,Graduate,469
Basic Education 3rd Cycle (9th/10th/11th Year),Secondary Education - 12th Year of Schooling,Dropout,210
Basic Education 3rd Cycle (9th/10th/11th Year),Secondary Education - 12th Year of Schooling,Enrolled,162
Basic Education 3rd Cycle (9th/10th/11th Year),Technological specialization course,Graduate,19
Basic Education 3rd Cycle (9th/10th/11th Year),Technological specialization course,Dropout,12
Basic Education 3rd Cycle (9th/10th/11th Year),Technological specialization course,Enrolled,11
Basic Education 3rd Cycle (9th/10th/11th Year),Basic Education 3rd Cycle (9th/10th/11th Year),Dropout,20
Basic Education 3rd Cycle (9th/10th/11th Year),Basic Education 3rd Cycle (9th/10th/11th Year),Graduate,10
Basic Education 3rd Cycle (9th/10th/11th Year),Basic Education 3rd Cycle (9th/10th/11th Year),Enrolled,4
Basic Education 3rd Cycle (9th/10th/11th Year),Higher Education - Degree,Dropout,12
Basic Education 3rd Cycle (9th/10th/11th Year),Higher Education - Degree,Graduate,7
Basic Education 3rd Cycle (9th/10th/11th Year),Higher Education - Degree,Enrolled,1
Basic Education 3rd Cycle (9th/10th/11th Year),Professional higher technical course,Graduate,9
Basic Education 3rd Cycle (9th/10th/11th Year),Professional higher technical course,Enrolled,2
Basic Education 3rd Cycle (9th/10th/11th Year),Professional higher technical course,Dropout,1
Secondary Education - 12th Year of Schooling,Secondary Education - 12th Year of Schooling,Graduate,406
Secondary Education - 12th Year of Schooling,Secondary Education - 12th Year of Schooling,Dropout,220
Secondary Education - 12th Year of Schooling,Secondary Education - 12th Year of Schooling,Enrolled,151
Secondary Education - 12th Year of Schooling,Technological specialization course,Graduate,21
Secondary Education - 12th Year of Schooling,Technological specialization course,Enrolled,15
Secondary Education - 12th Year of Schooling,Technological specialization course,Dropout,14
Secondary Education - 12th Year of Schooling,Basic Education 3rd Cycle (9th/10th/11th Year),Dropout,18
Secondary Education - 12th Year of Schooling,Basic Education 3rd Cycle (9th/10th/11th Year),Enrolled,0
Secondary Education - 12th Year of Schooling,Basic Education 3rd Cycle (9th/10th/11th Year),Graduate,4
Secondary Education - 12th Year of Schooling,Higher Education - Degree,Dropout,12
Secondary Education - 12th Year of Schooling,Higher Education - Degree,Graduate,2
Secondary Education - 12th Year of Schooling,Higher Education - Degree,Enrolled,1
Secondary Education - 12th Year of Schooling,Higher education - degree (1st cycle),Graduate,5
Secondary Education - 12th Year of Schooling,Higher education - degree (1st cycle),Dropout,3
Secondary Education - 12th Year of Schooling,Higher education - degree (1st cycle),Enrolled,2
Basic Education 2nd Cycle (6th/7th/8th Year),Secondary Education - 12th Year of Schooling,Graduate,370
Basic Education 2nd Cycle (6th/7th/8th Year),Secondary Education - 12th Year of Schooling,Dropout,129
Basic Education 2nd Cycle (6th/7th/8th Year),Secondary Education - 12th Year of Schooling,Enrolled,115
Basic Education 2nd Cycle (6th/7th/8th Year),Technological specialization course,Graduate,22
Basic Education 2nd Cycle (6th/7th/8th Year),Technological specialization course,Dropout,9
Basic Education 2nd Cycle (6th/7th/8th Year),Technological specialization course,Enrolled,8
Basic Education 2nd Cycle (6th/7th/8th Year),Basic Education 3rd Cycle (9th/10th/11th Year),Dropout,13
Basic Education 2nd Cycle (6th/7th/8th Year),Basic Education 3rd Cycle (9th/10th/11th Year),Graduate,3
Basic Education 2nd Cycle (6th/7th/8th Year),Basic Education 3rd Cycle (9th/10th/11th Year),Enrolled,2
Basic Education 2nd Cycle (6th/7th/8th Year),Higher Education - Degree,Graduate,8
Basic Education 2nd Cycle (6th/7th/8th Year),Higher Education - Degree,Dropout,7
Basic Education 2nd Cycle (6th/7th/8th Year),Higher Education - Degree,Enrolled,0
Basic Education 2nd Cycle (6th/7th/8th Year),Professional higher technical course,Graduate,3
Basic Education 2nd Cycle (6th/7th/8th Year),Professional higher technical course,Dropout,3
Basic Education 2nd Cycle (6th/7th/8th Year),Professional higher technical course,Enrolled,2
Higher Education - Degree,Secondary Education - 12th Year of Schooling,Graduate,112
Higher Education - Degree,Secondary Education - 12th Year of Schooling,Dropout,70
Higher Education - Degree,Secondary Education - 12th Year of Schooling,Enrolled,53
Higher Education - Degree,Technological specialization course,Graduate,9
Higher Education - Degree,Technological specialization course,Enrolled,6
Higher Education - Degree,Technological specialization course,Dropout,4
Higher Education - Degree,Higher Education - Degree,Dropout,7
Higher Education - Degree,Higher Education - Degree,Graduate,6
Higher Education - Degree,Higher Education - Degree,Enrolled,0
Higher Education - Degree,Higher education - degree (1st cycle),Dropout,3
Higher Education - Degree,Higher education - degree (1st cycle),Enrolled,2
Higher Education - Degree,Higher education - degree (1st cycle),Graduate,1
Higher Education - Degree,Higher Education - Master's,Dropout,2
Higher Education - Degree,Higher Education - Master's,Graduate,1
Higher Education - Degree,Higher Education - Master's,Enrolled,1
Basic education 1st cycle (4th/5th year),Higher education - degree (1st cycle),Graduate,0
Basic education 1st cycle (4th/5th year),Higher education - degree (1st cycle),Dropout,0
Basic education 1st cycle (4th/5th year),Higher education - degree (1st cycle),Enrolled,0
Basic education 1st cycle (4th/5th year),Higher Education - Master's,Graduate,0
Basic education 1st cycle (4th/5th year),Higher Education - Master's,Dropout,0
Basic education 1st cycle (4th/5th year),Higher Education - Master's,Enrolled,0
Basic education 1st cycle (4th/5th year),Professional higher technical course,Graduate,0
Basic education 1st cycle (4th/5th year),Professional higher technical course,Dropout,0
Basic education 1st cycle (4th/5th year),Professional higher technical course,Enrolled,0
Basic Education 2nd Cycle (6th/7th/8th Year),Higher education - degree (1st cycle),Graduate,0
Basic Education 2nd Cycle (6th/7th/8th Year),Higher education - degree (1st cycle),Dropout,0
Basic Education 2nd Cycle (6th/7th/8th Year),Higher education - degree (1st cycle),Enrolled,0
Basic Education 2nd Cycle (6th/7th/8th Year),Higher Education - Master's,Graduate,0
Basic Education 2nd Cycle (6th/7th/8th Year),Higher Education - Master's,Dropout,0
Basic Education 2nd Cycle (6th/7th/8th Year),Higher Education - Master's,Enrolled,0
Basic Education 2nd Cycle (6th/7th/8th Year),Other,Graduate,0
Basic Education 2nd Cycle (6th/7th/8th Year),Other,Dropout,0
Basic Education 2nd Cycle (6th/7th/8th Year),Other,Enrolled,0
Basic Education 3rd Cycle (9th/10th/11th Year),Higher education - degree (1st cycle),Graduate,0
Basic Education 3rd Cycle (9th/10th/11th Year),Higher education - degree (1st cycle),Dropout,0
Basic Education 3rd Cycle (9th/10th/11th Year),Higher education - degree (1st cycle),Enrolled,0
Basic Education 3rd Cycle (9th/10th/11th Year),Higher Education - Master's,Graduate,0
Basic Education 3rd Cycle (9th/10th/11th Year),Higher Education - Master's,Dropout,0
Basic Education 3rd Cycle (9th/10th/11th Year),Higher Education - Master's,Enrolled,0
Basic Education 3rd Cycle (9th/10th/11th Year),Other,Graduate,0
Basic Education 3rd Cycle (9th/10th/11th Year),Other,Dropout,0
Basic Education 3rd Cycle (9th/10th/11th Year),Other,Enrolled,0
Higher Education - Degree,Basic Education 3rd Cycle (9th/10th/11th Year),Graduate,0
Higher Education - Degree,Basic Education 3rd Cycle (9th/10th/11th Year),Dropout,0
Higher Education - Degree,Basic Education 3rd Cycle (9th/10th/11th Year),Enrolled,0
Higher Education - Degree,Other,Graduate,0
