mother qualification,previous qualification,target,count
Secondary Education - 12th Year of Schooling,Secondary Education - 12th Year of Schooling,Graduate^M,499
Secondary Education - 12th Year of Schooling,Secondary Education - 12th Year of Schooling,Dropout^M,238
Secondary Education - 12th Year of Schooling,Secondary Education - 12th Year of Schooling,Enrolled^M,185
Secondary Education - 12th Year of Schooling,Technological specialization course,Graduate^M,26
Secondary Education - 12th Year of Schooling,Technological specialization course,Dropout^M,26
Secondary Education - 12th Year of Schooling,Technological specialization course,Enrolled^M,13
Secondary Education - 12th Year of Schooling,Higher Education - Degree,Dropout^M,13
Secondary Education - 12th Year of Schooling,Higher Education - Degree,Graduate^M,7
Secondary Education - 12th Year of Schooling,Higher Education - Degree,Enrolled^M,0
Secondary Education - 12th Year of Schooling,Professional higher technical course,Graduate^M,15
Secondary Education - 12th Year of Schooling,Professional higher technical course,Enrolled^M,2
Secondary Education - 12th Year of Schooling,Professional higher technical course,Dropout^M,2
Secondary Education - 12th Year of Schooling,Basic Education 3rd Cycle (9th/10th/11th Year),Dropout^M,10
Secondary Education - 12th Year of Schooling,Basic Education 3rd Cycle (9th/10th/11th Year),Graduate^M,2
Secondary Education - 12th Year of Schooling,Basic Education 3rd Cycle (9th/10th/11th Year),Enrolled^M,2
Basic education 1st cycle (4th/5th year),Secondary Education - 12th Year of Schooling,Graduate^M,367
Basic education 1st cycle (4th/5th year),Secondary Education - 12th Year of Schooling,Dropout^M,278
Basic education 1st cycle (4th/5th year),Secondary Education - 12th Year of Schooling,Enrolled^M,142
Basic education 1st cycle (4th/5th year),Basic Education 3rd Cycle (9th/10th/11th Year),Dropout^M,44
Basic education 1st cycle (4th/5th year),Basic Education 3rd Cycle (9th/10th/11th Year),Graduate^M,26
Basic education 1st cycle (4th/5th year),Basic Education 3rd Cycle (9th/10th/11th Year),Enrolled^M,6
Basic education 1st cycle (4th/5th year),Technological specialization course,Graduate^M,18
Basic education 1st cycle (4th/5th year),Technological specialization course,Dropout^M,14
Basic education 1st cycle (4th/5th year),Technological specialization course,Enrolled^M,10
Basic education 1st cycle (4th/5th year),Higher Education - Degree,Graduate^M,20
Basic education 1st cycle (4th/5th year),Higher Education - Degree,Dropout^M,19
